"Lake" "Sample Date" "ELISA MIC" "LC/MS/MS MIC" "ATX" "CYL" "SAX"
"FREMONT EAST" "2008-06-17" 0 34.654 1.5 4.9 0
"PAWNEE EAST" "2007-07-23" 10.01 19.362 0 0 1
"PAWNEE EAST" "2007-07-30" 12.1 7.538 0.1 0 0
"PAWNEE EAST" "2007-08-06" 20.13 13.419 0 0 0
"PAWNEE EAST" "2007-08-13" 20.9 50.045 0 0 0
"PAWNEE EAST" "2007-08-21" 29.59 66.952 0 0 0
"PAWNEE EAST" "2007-08-27" 37.4 26.528 0 0 0
"PAWNEE EAST" "2008-06-23" 0.01 0.1 0 0 0
"PAWNEE WEST" "2007-07-23" 33.99 6.452 0.5 0 1.7
"PAWNEE WEST" "2007-07-30" 21.78 12.24 0.2 0 0
"PAWNEE WEST" "2007-08-06" 10.89 13.279 0.2 0 0
"PAWNEE WEST" "2007-08-13" 22.33 27.543 0 0 0
"PAWNEE WEST" "2007-08-21" 31.57 53.54 0 0 0
"PAWNEE WEST" "2007-08-27" 39.82 21.631 0 0 0
"PAWNEE WEST" "2008-06-16" 0.01 0.1 0 0 0
"PAWNEE WEST" "2008-06-23" 0.09 0.053 0 0 0
"PAWNEE WEST" "2008-08-04" 0.89 0.2 0 0 0
"PAWNEE WEST" "2008-08-25" 50 1.206 0 1.2 0
"PAWNEE WEST" "2008-09-10" 21.23 0.3 0 0 0
"CARTER" "2007-08-21" 0.62 0.9 0 0 0
"CARTER" "2008-07-01" 0.16 35.335 1.6 5.1 0
"CARTER" "2008-09-16" 1.25 0.1 0 0 0
